Item,Table Title,Quantity,Rarity,Rarity Probability,Rarity Tier,Price,Price Tiered,Prices Share in Table
Grimy Avantoe,Herbs,1.0,1/182,0.0054945054945054,Very rare,2346.0,Better Drop,0.1111058489225668
Grimy Kwuarm,Herbs,1.0,1/218.5,0.0045766590389016,Very rare,2423.0,Pricey Drop,0.1147525455837082
Grimy Cadantine,Herbs,1.0,1/273.1,0.0036616623947272,Very rare,3024.0,Pricey Drop,0.1432157234193701
Grimy Lantadyme,Herbs,1.0,1/364.1,0.0027464982147761,Very rare,1603.0,Better Drop,0.0759175941273975
Grimy Dwarf Weed,Herbs,1.0,1/364.1,0.0027464982147761,Very rare,2377.0,Better Drop,0.112573999526403
Coins,Coins,44.0,29/128,0.2265625,Common,44.0,Poor Drop,0.053204353083434
Coins,Coins,132.0,25/128,0.1953125,Common,132.0,Poor Drop,0.1596130592503023
Coins,Coins,200.0,10/128,0.078125,Uncommon,200.0,Poor Drop,0.2418379685610641
Coins,Coins,11.0,5/128,0.0390625,Uncommon,11.0,Poor Drop,0.0133010882708585
Coins,Coins,440.0,1/128,0.0078125,Very rare,440.0,Mid Drop,0.532043530834341
Adamantite Ore,Other,1.0,3/128,0.0234375,Rare,639.0,Mid Drop,0.8140127388535032
Bass,Other,1.0,3/128,0.0234375,Rare,146.0,Poor Drop,0.1859872611464968
Nothing,Gem Drop Table,,1/51.29,0.0194969779684148,Rare,0.0,Poor Drop,0.0
Uncut Sapphire,Gem Drop Table,1.0,1/102.4,0.009765625,Very rare,213.0,Poor Drop,0.0015281962978906
Uncut Emerald,Gem Drop Table,1.0,1/204.8,0.0048828125,Very rare,443.0,Mid Drop,0.0031783613143923
Uncut Ruby,Gem Drop Table,1.0,1/409.6,0.00244140625,Very rare,1285.0,Better Drop,0.0092194002008896
Chaos Talisman,Gem Drop Table,1.0,"1/1,092.27",0.0009155245497908,Very rare,330.0,Mid Drop,0.0023676280671545
Nature Talisman,Gem Drop Table,1.0,"1/1,092.27",0.0009155245497908,Very rare,256.0,Poor Drop,0.0018367054096714
Uncut Diamond,Gem Drop Table,1.0,"1/1,638.4",0.0006103515625,Very rare,2450.0,Pricey Drop,0.0175778447409958
Rune Javelin,Gem Drop Table,5.0,"1/3,276.8",0.00030517578125,Very rare,660.0,Better Drop,0.004735256134309
Loop Half Of Key,Gem Drop Table,1.0,"1/3,276.8",0.00030517578125,Very rare,10076.0,Pricey Drop,0.0722915769837853
Tooth Half Of Key,Gem Drop Table,1.0,"1/3,276.8",0.00030517578125,Very rare,10361.0,Pricey Drop,0.074336346678146
Rune Spear,Gem Drop Table,1.0,"1/52,428.8",1.9073486328125e-05,Very rare,11649.0,Pricey Drop,0.0835772707705553
Shield Left Half,Gem Drop Table,1.0,"1/104,857.6",9.5367431640625e-06,Very rare,64476.0,Pricey Drop,0.4625914765389582
Dragon Spear,Gem Drop Table,1.0,"1/139,810.13",7.152557543577136e-06,Very rare,37181.0,Pricey Drop,0.2667599368632515
Ensouled Dragon Head,Tertiary,1.0,1/50,0.02,Rare,2879.0,Pricey Drop,0.4923050615595075
Scaly Blue Dragonhide,Tertiary,1.0,1/50,0.02,Rare,481.0,Mid Drop,0.082250341997264
Brimstone Key,Tertiary,1.0,1/98,0.010204081632653,Rare,0.0,Untradeable,0.0
Frozen Tear,Tertiary,8.0,1/100,0.01,Very rare,2488.0,Pricey Drop,0.4254445964432284
Tooth Half Of Key (Moon Key),Tertiary,1.0,1/636,0.0015723270440251,Very rare,0.0,Untradeable,0.0
Clue Scroll (Hard),Tertiary,1.0,1/128,0.0078125,Very rare,0.0,Untradeable,0.0
